service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Saturday ,  574,    6415,   16008,12,02   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6415,   16008,12,15   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6415,   16008,12,30   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6415,   16008,12,37   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6415,   16008,12,41   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6415,   16008,12,52   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6415,   16008,12,57   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6407,   16009, 5,38   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6407,   16009, 5,48   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6407,   16009, 6,00   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6407,   16009, 6,15   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6407,   16009, 6,21   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6407,   16009, 6,24   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6407,   16009, 6,33   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6407,   16009, 6,38   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6431,   16015,21,53   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6431,   16015,22,03   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6431,   16015,22,15   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6431,   16015,22,30   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6431,   16015,22,37   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6431,   16015,22,40   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6431,   16015,22,51   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6431,   16015,22,56   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6427,   16032,17,51   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6427,   16032,18,02   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6427,   16032,18,15   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6427,   16032,18,30   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6427,   16032,18,36   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6427,   16032,18,39   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6427,   16032,18,50   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6427,   16032,18,55   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6408,   16012, 6,38   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6408,   16012, 6,48   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6408,   16012, 7,00   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6408,   16012, 7,15   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6408,   16012, 7,20   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6408,   16012, 7,23   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6408,   16012, 7,34   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6408,   16012, 7,39   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6416,   16028,12,21   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6416,   16028,12,32   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6416,   16028,12,45   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6416,   16028,13,00   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6416,   16028,13,07   ,Star Lake Fwy Station NB,starlk,          5,North
